identifier,group
RS.03.01,MUT
RS.04.02,MUT
RS.05.03,MUT
RS.06.04,MUT
RS.07.05,MUT
RS.10.07,MUT
RS.14.10,MUT
RS.8.06,MUT
RS.12.08,MUT
RS.13.09,MUT
RS.27.11,MUT
C17.4391.01,MUT
S11.9079.04,MUT
S14.13175.05,MUT
S16.11876.07,MUT
S16.12149.02,MUT
S16.7664.10,MUT
S17.11109.03,MUT
S17.12681.09,MUT
S17.13314.11,MUT
S17.14478,MUT
S17.15075,MUT
S15.7571.10,WT
S16.10650.08,WT
S17.10269.06,WT
S17.13154.04,WT
S17.13167.05,WT
S17.2562.02,WT
S17.2629.03,WT
S17.3112.12,WT
S17.4686.07,WT
S17.5395.01,WT
S17.7410.09,WT
S15.12525.08,WT
S16.178.01,WT
S17.10830.05,WT
S17.12359.02,WT
S17.2694.07,WT
S17.2752.06,WT
S17.7133.04,WT
S17.8422.03,WT
